year_month,category,island,value
2024-06,VISITOR ARRIVALS,kauai,130922.70172327476
2024-06,VISITOR ARRIVALS,lanai,6372.044021094718
2024-06,VISITOR ARRIVALS,maui,216064.89848960913
2024-06,VISITOR ARRIVALS,molokai,2478.215711163364
2024-06,VISITOR ARRIVALS,oahu,532915.2693261394
2024-07,AVERAGE DAILY CENSUS,hawaii island,39986.25943655566
2024-07,AVERAGE DAILY CENSUS,kauai,32878.73388760579
2024-07,AVERAGE DAILY CENSUS,lanai,482.13774212120234
2024-07,AVERAGE DAILY CENSUS,maui,58001.63974303883
2024-07,AVERAGE DAILY CENSUS,molokai,474.0478020117434
2024-07,AVERAGE DAILY CENSUS,oahu,128186.40884777311
2024-07,AVERAGE LENGTH OF STAY,hawaii island,7.348672600702568
2024-07,AVERAGE LENGTH OF STAY,kauai,7.508763222397355
2024-07,AVERAGE LENGTH OF STAY,lanai,3.7336445899019757
2024-07,AVERAGE LENGTH OF STAY,maui,7.610958288596408
2024-07,AVERAGE LENGTH OF STAY,molokai,4.549752488942054
2024-07,AVERAGE LENGTH OF STAY,oahu,7.1903101036017185
2024-07,PER PERSON PER DAY SPENDING ($),hawaii island,237.2280558827103
2024-07,PER PERSON PER DAY SPENDING ($),kauai,282.14115389105655
2024-07,PER PERSON PER DAY SPENDING ($),lanai,869.3267621906909
2024-07,PER PERSON PER DAY SPENDING ($),maui,282.89415931047716
2024-07,PER PERSON PER DAY SPENDING ($),molokai,183.54266997472988
2024-07,PER PERSON PER DAY SPENDING ($),oahu,234.56765152022444
2024-07,PER PERSON PER TRIP SPENDING ($),hawaii island,1743.3113143832106
2024-07,PER PERSON PER TRIP SPENDING ($),kauai,2118.5311198619174
2024-07,PER PERSON PER TRIP SPENDING ($),lanai,3245.7571625102746
2024-07,PER PERSON PER TRIP SPENDING ($),maui,2153.0956465995887
2024-07,PER PERSON PER TRIP SPENDING ($),molokai,835.0737195445972
2024-07,PER PERSON PER TRIP SPENDING ($),oahu,1686.614154703997
2024-07,TOTAL EXPENDITURES ($ MILLION),hawaii island,294.0617402328291
2024-07,TOTAL EXPENDITURES ($ MILLION),kauai,287.5697614433085
2024-07,TOTAL EXPENDITURES ($ MILLION),lanai,12.99319251093281
2024-07,TOTAL EXPENDITURES ($ MILLION),maui,508.65807852582
